Servo,Camera
110.5,-15.1
108.5,-13.1
106.5,-11.1
104.5,-9.1
102.4,-7.1
100.4,-5.1
98.4,-3.1
96.4,-1.1
94.3,0.9
92.3,2.8
90.3,4.8
88.2,6.8
86.2,8.8
84.2,10.8
82.2,12.8
80.1,14.8
78.1,16.8
76.1,18.8
74.1,20.8
72,22.8
70,24.8
